"Инструмент","Открывающее направление","Время закрытия (UTC+3)","Цена входа","Цена закрытия","Закрываемое кол-во","Закрываемый объем","Чистая прибыль $","Баланс $"
"GER40.cash","Buy","24/04/2026 15:31:52.096","24210.60","24183.21","3.00 Лоты","","-96.24","9 280.32"
"XAGUSD","Buy","24/04/2026 15:22:02.002","76.104","76.079","0.02 Лоты","","-2.60","9 376.56"
"XAUUSD","Buy","24/04/2026 15:19:29.856","4707.47","4701.39","0.04 Лоты","","-24.58","9 379.16"
"GER40.cash","Buy","24/04/2026 15:19:16.992","24189.60","24189.71","1.00 Лоты","","0.13","9 403.74"
"GER40.cash","Sell","24/04/2026 14:50:26.266","24177.21","24175.10","1.00 Лоты","","2.47","9 403.61"
"XAUUSD","Buy","24/04/2026 14:36:16.500","4708.18","4708.50","0.04 Лоты","","1.02","9 401.14"
"XAUUSD","Sell","24/04/2026 14:22:21.325","4693.82","4705.34","0.02 Лоты","","-23.18","9 400.12"
"FRA40.cash","Sell","24/04/2026 14:21:46.988","8186.92","8210.03","2.00 Лоты","","-54.14","9 423.30"
"XAGUSD","Buy","24/04/2026 14:07:47.704","74.876","75.684","0.03 Лоты","","121.04","9 477.44"
"GBPUSD","Sell","24/04/2026 14:07:25.224","1.34969","1.34963","0.30 Лоты","","0.30","9 356.40"
"GER40.cash","Sell","24/04/2026 14:04:51.928","24045.71","24134.60","2.00 Лоты","","-208.11","9 356.10"
"FRA40.cash","Sell","24/04/2026 13:42:56.848","8120.32","8155.43","1.00 Лоты","","-41.08","9 564.21"
"GER40.cash","Buy","24/04/2026 13:05:47.590","24077.10","24045.71","2.00 Лоты","","-73.37","9 605.29"
"GER40.cash","Sell","24/04/2026 13:04:06.740","24075.21","24077.10","2.00 Лоты","","-4.42","9 678.66"
"GER40.cash","Sell","24/04/2026 13:03:41.289","24044.71","24076.10","1.00 Лоты","","-36.68","9 683.08"
"EURUSD","Buy","24/04/2026 12:22:47.431","1.16883","1.16844","0.50 Лоты","","-22.00","9 719.76"
"GBPUSD","Buy","24/04/2026 11:55:52.508","1.34655","1.34734","0.10 Лоты","","7.40","9 741.76"
"GBPUSD","Buy","24/04/2026 10:59:51.445","1.34758","1.34760","0.50 Лоты","","-1.50","9 734.36"
"AUDUSD","Sell","24/04/2026 10:50:32.848","0.71217","0.71324","0.20 Лоты","","-22.40","9 735.86"
"AUDJPY","Sell","24/04/2026 10:49:58.959","113.758","113.844","0.30 Лоты","","-17.66","9 758.26"
"XAUUSD","Sell","23/04/2026 23:49:57.875","4689.61","4691.48","0.01 Лоты","","-1.93","9 775.92"
"USDJPY","Sell","23/04/2026 23:33:48.792","159.727","159.712","0.50 Лоты","","2.20","9 777.85"
"USDJPY","Sell","23/04/2026 23:24:45.878","159.739","159.721","0.20 Лоты","","1.25","9 775.65"
"XAGUSD","Buy","23/04/2026 23:16:37.360","75.958","75.236","0.03 Лоты","","-108.46","9 774.40"
"US100.cash","Sell","23/04/2026 22:49:34.198","26743.33","26750.33","1.00 Лоты","","-7.00","9 882.86"
"XAUUSD","Buy","23/04/2026 22:35:39.602","4704.05","4690.52","0.05 Лоты","","-67.97","9 889.86"
"XAUUSD","Buy","23/04/2026 21:59:29.542","4713.54","4699.55","0.03 Лоты","","-42.17","9 957.83"
